type,parent_name,name,link,status
category,Makanan & Minuman,Makanan & Minuman Lainnya,https://shopee.co.id/Makanan-&-Minuman-Lainnya-cat.11043451.11043556,
category,Komputer & Aksesoris,Desktop,https://shopee.co.id/Desktop-cat.11044364.11044365,
facet,Desktop,PC Desktop,https://shopee.co.id/Desktop-cat.11044364.11044365?facet=101944,
facet,Desktop,PC Mini,https://shopee.co.id/Desktop-cat.11044364.11044365?facet=101945,
facet,Desktop,Server PC,https://shopee.co.id/Desktop-cat.11044364.11044365?facet=101946,
facet,Desktop,All-in-One Desktop,https://shopee.co.id/Desktop-cat.11044364.11044365?facet=101947,
category,Komputer & Aksesoris,Monitor,https://shopee.co.id/Monitor-cat.11044364.11044371,
facet,Monitor,Monitor,https://shopee.co.id/Monitor-cat.11044364.11044371?facet=101933,
category,Komputer & Aksesoris,Komponen Desktop & Laptop,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372,
facet,Komponen Desktop & Laptop,Fan & Heatsink,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101949,
facet,Komponen Desktop & Laptop,Processor,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101950,
facet,Komponen Desktop & Laptop,Motherboard,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101951,
facet,Komponen Desktop & Laptop,VGA Card,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101952,
facet,Komponen Desktop & Laptop,Thermal Paste,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101953,
facet,Komponen Desktop & Laptop,Power Supply,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101954,
facet,Komponen Desktop & Laptop,Memory RAM,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101955,
facet,Komponen Desktop & Laptop,UPS & Stabilizer,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101956,
facet,Komponen Desktop & Laptop,Casing Komputer,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101957,
facet,Komponen Desktop & Laptop,Optical Drive,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101958,
facet,Komponen Desktop & Laptop,Sound Card,https://shopee.co.id/Komponen-Desktop-&-Laptop-cat.11044364.11044372?facet=101959,
category,Komputer & Aksesoris,Penyimpanan Data,https://shopee.co.id/Penyimpanan-Data-cat.11044364.11044386,
facet,Penyimpanan Data,Hard Disk,https://shopee.co.id/Penyimpanan-Data-cat.11044364.11044386?facet=101961,
facet,Penyimpanan Data,SSD,https://shopee.co.id/Penyimpanan-Data-cat.11044364.11044386?facet=101962,
facet,Penyimpanan Data,Network Attached Storage (NAS),https://shopee.co.id/Penyimpanan-Data-cat.11044364.11044386?facet=101963,
facet,Penyimpanan Data,Flashdisk & Flashdisk OTG,https://shopee.co.id/Penyimpanan-Data-cat.11044364.11044386?facet=101964,
facet,Penyimpanan Data,Casing Hard Disk & Docking,https://shopee.co.id/Penyimpanan-Data-cat.11044364.11044386?facet=101965,
facet,Penyimpanan Data,Compact Disc (CD),https://shopee.co.id/Penyimpanan-Data-cat.11044364.11044386?facet=101966,
category,Komputer & Aksesoris,Komponen Network,https://shopee.co.id/Komponen-Network-cat.11044364.11044394,
facet,Komponen Network,Modem & Router Wireless,https://shopee.co.id/Komponen-Network-cat.11044364.11044394?facet=101968,
facet,Komponen Network,Repeater,https://shopee.co.id/Komponen-Network-cat.11044364.11044394?facet=101969,
facet,Komponen Network,Wireless Adapter & Kartu Network,https://shopee.co.id/Komponen-Network-cat.11044364.11044394?facet=101970,
facet,Komponen Network,Powerline Adapter,https://shopee.co.id/Komponen-Network-cat.11044364.11044394?facet=101971,
facet,Komponen Network,Switch Internet & PoE,https://shopee.co.id/Komponen-Network-cat.11044364.11044394?facet=101972,
facet,Komponen Network,Kabel Network & Konektor,https://shopee.co.id/Komponen-Network-cat.11044364.11044394?facet=101973,
facet,Komponen Network,KVM Switch,https://shopee.co.id/Komponen-Network-cat.11044364.11044394?facet=101974,
facet,Komponen Network,Print Server,https://shopee.co.id/Komponen-Network-cat.11044364.11044394?facet=101975,
